creditcardid;cardtype;cardnumber;expmonth;expyear
58;Vista;1.11176E+13;12;2008
59;Vista;1.11169E+13;9;2006
60;Vista;1.11111E+13;1;2008
61;Distinguish;5.55535E+13;4;2008
62;SuperiorCard;3.33361E+13;1;2005
63;Distinguish;5.55528E+13;4;2008
64;ColonialVoice;7.77763E+13;2;2005
65;Distinguish;5.55561E+13;4;2005
66;ColonialVoice;7.77742E+13;8;2005
67;SuperiorCard;3.33355E+13;12;2005
68;SuperiorCard;3.33372E+13;3;2005
69;ColonialVoice;7.7773E+13;6;2005
70;Distinguish;5.55562E+13;3;2008
71;Vista;1.11162E+13;7;2005
72;Distinguish;5.55572E+13;7;2005
73;Vista;1.11111E+13;1;2008
74;Vista;1.11119E+13;11;2007
75;SuperiorCard;3.3339E+13;11;2008
76;SuperiorCard;3.33377E+13;5;2008
77;Distinguish;5.55525E+13;8;2008
78;SuperiorCard;3.33353E+13;8;2008
79;Vista;1.1118E+13;7;2006
80;ColonialVoice;7.77723E+13;11;2008
81;Distinguish;5.55579E+13;6;2007
82;Distinguish;5.55526E+13;11;2006
83;Vista;1.1118E+13;4;2008
84;Distinguish;5.55569E+13;1;2006
85;ColonialVoice;7.7776E+13;4;2006
86;SuperiorCard;3.33367E+13;1;2006
87;Vista;1.11155E+13;8;2007
88;Distinguish;5.55595E+13;1;2006
89;SuperiorCard;3.3333E+13;4;2007
90;Distinguish;5.55541E+13;11;2007
91;SuperiorCard;3.33344E+13;1;2006
92;SuperiorCard;3.33344E+13;10;2006
93;Vista;1.11172E+13;2;2005
94;Distinguish;5.55536E+13;5;2005
95;Distinguish;5.55514E+13;5;2007
96;SuperiorCard;3.33376E+13;4;2007
97;ColonialVoice;7.77789E+13;12;2007
98;SuperiorCard;3.33347E+13;9;2006
99;Vista;1.11196E+13;12;2006
100;ColonialVoice;7.77759E+13;9;2007
101;ColonialVoice;7.77712E+13;12;2006
102;ColonialVoice;7.77779E+13;12;2008
103;Vista;1.11134E+13;10;2007
104;ColonialVoice;7.7773E+13;11;2005
105;Distinguish;5.55583E+13;4;2008
106;SuperiorCard;3.33316E+13;10;2008
107;ColonialVoice;7.77715E+13;12;2006
108;Vista;1.11142E+13;4;2006
109;Vista;1.1116E+13;8;2007
110;Distinguish;5.55565E+13;12;2006
111;SuperiorCard;3.33391E+13;4;2006
112;Vista;1.11183E+13;3;2007
113;Vista;1.11179E+13;2;2005
114;SuperiorCard;3.33386E+13;8;2006
115;Distinguish;5.55573E+13;1;2005
116;Distinguish;5.55515E+13;5;2006
117;ColonialVoice;7.77783E+13;8;2005
118;Distinguish;5.55518E+13;10;2007
119;Distinguish;5.55511E+13;1;2006
120;Distinguish;5.55548E+13;1;2006
121;Distinguish;5.55565E+13;8;2005
122;ColonialVoice;7.77758E+13;9;2007
123;Distinguish;5.55526E+13;8;2007
124;ColonialVoice;7.77721E+13;12;2007
125;ColonialVoice;7.77743E+13;6;2006
126;SuperiorCard;3.33356E+13;11;2005
127;ColonialVoice;7.77787E+13;4;2008
128;Distinguish;5.55546E+13;8;2006
129;Distinguish;5.55556E+13;12;2005
130;Vista;1.1117E+13;7;2005
131;SuperiorCard;3.33333E+13;6;2008
132;SuperiorCard;3.33329E+13;1;2008
133;Distinguish;5.55515E+13;8;2006
134;ColonialVoice;7.77791E+13;8;2006
135;ColonialVoice;7.77735E+13;4;2006
136;Distinguish;5.55532E+13;9;2008
137;Distinguish;5.55583E+13;12;2006
138;Distinguish;5.5554E+13;7;2005
139;SuperiorCard;3.3333E+13;6;2007
140;SuperiorCard;3.33325E+13;1;2005
141;Distinguish;5.55534E+13;8;2007
142;Distinguish;5.55541E+13;6;2006
143;SuperiorCard;3.3339E+13;5;2005
144;Distinguish;5.55523E+13;3;2007
145;ColonialVoice;7.77716E+13;1;2007
146;SuperiorCard;3.33315E+13;1;2006
147;SuperiorCard;3.3335E+13;1;2007
148;SuperiorCard;3.33364E+13;8;2006
149;ColonialVoice;7.77777E+13;11;2006
150;Vista;1.1114E+13;12;2006
151;SuperiorCard;3.33319E+13;12;2007
152;SuperiorCard;3.33326E+13;10;2005
153;Vista;1.11178E+13;1;2005
154;ColonialVoice;7.77747E+13;8;2008
155;ColonialVoice;7.77773E+13;3;2006
156;Vista;1.11173E+13;4;2007
157;Vista;1.11127E+13;6;2005
158;SuperiorCard;3.33384E+13;6;2006
159;SuperiorCard;3.33322E+13;1;2008
160;Vista;1.11176E+13;12;2007
161;Vista;1.11131E+13;3;2005
162;SuperiorCard;3.33382E+13;8;2008
163;Vista;1.11159E+13;12;2006
164;ColonialVoice;7.77735E+13;5;2005
165;ColonialVoice;7.77721E+13;2;2007
166;Vista;1.11174E+13;9;2006
167;SuperiorCard;3.33353E+13;11;2005
168;SuperiorCard;3.33314E+13;1;2007
169;Distinguish;5.55555E+13;10;2008
170;ColonialVoice;7.7775E+13;6;2006
171;Distinguish;5.55548E+13;8;2005
172;SuperiorCard;3.33387E+13;11;2008
173;SuperiorCard;3.33318E+13;10;2007
174;ColonialVoice;7.7773E+13;7;2006
175;ColonialVoice;7.77798E+13;1;2006
176;SuperiorCard;3.33377E+13;10;2007
177;Vista;1.11145E+13;9;2005
178;Vista;1.11152E+13;6;2008
179;SuperiorCard;3.33321E+13;3;2007
180;Distinguish;5.55541E+13;12;2008
181;ColonialVoice;7.77738E+13;12;2007
182;Distinguish;5.55578E+13;3;2008
183;Vista;1.11124E+13;3;2005
184;SuperiorCard;3.33333E+13;10;2007
185;Distinguish;5.55592E+13;3;2008
186;Vista;1.11183E+13;10;2007
187;Vista;1.1115E+13;2;2007
188;ColonialVoice;7.77777E+13;12;2005
189;SuperiorCard;3.33389E+13;1;2008
190;Distinguish;5.55578E+13;7;2006
191;SuperiorCard;3.33384E+13;7;2005
192;SuperiorCard;3.33356E+13;6;2007
193;Vista;1.11155E+13;12;2005
194;ColonialVoice;7.77745E+13;8;2008
195;Distinguish;5.55519E+13;9;2005
196;Vista;1.1117E+13;7;2005
197;Distinguish;5.55569E+13;5;2006
198;SuperiorCard;3.3335E+13;7;2007
199;SuperiorCard;3.33355E+13;5;2007
200;Distinguish;5.5557E+13;4;2008
201;ColonialVoice;7.77797E+13;5;2005
202;SuperiorCard;3.33385E+13;12;2007
203;Vista;1.11114E+13;11;2007
204;Distinguish;5.55563E+13;4;2005
205;Distinguish;5.55568E+13;4;2008
206;Vista;1.11167E+13;7;2006
207;Distinguish;5.55537E+13;1;2008
208;Distinguish;5.55511E+13;11;2007
209;Vista;1.11157E+13;11;2005
210;SuperiorCard;3.3331E+13;7;2006
211;SuperiorCard;3.33381E+13;6;2006
212;SuperiorCard;3.33345E+13;7;2008
213;SuperiorCard;3.33355E+13;9;2008
214;SuperiorCard;3.33348E+13;4;2008
215;Vista;1.11127E+13;3;2008
216;Distinguish;5.55597E+13;7;2005
217;SuperiorCard;3.33378E+13;10;2005
218;Vista;1.11169E+13;12;2007
219;SuperiorCard;3.3333E+13;2;2006
220;Distinguish;5.55565E+13;12;2005
221;Vista;1.11132E+13;10;2007
222;ColonialVoice;7.77771E+13;3;2007
223;SuperiorCard;3.33344E+13;8;2007
224;Vista;1.11113E+13;5;2006
225;Vista;1.11114E+13;10;2005
226;SuperiorCard;3.33323E+13;4;2006
227;Vista;1.1113E+13;10;2007
228;Vista;1.11177E+13;7;2007
229;SuperiorCard;3.3331E+13;9;2008
230;Distinguish;5.55526E+13;7;2008
231;Vista;1.11196E+13;11;2008
232;Vista;1.11146E+13;10;2007
233;ColonialVoice;7.77784E+13;1;2007
234;ColonialVoice;7.77757E+13;3;2005
235;ColonialVoice;7.77742E+13;2;2006
236;ColonialVoice;7.7772E+13;12;2005
237;SuperiorCard;3.33345E+13;4;2006
238;ColonialVoice;7.77718E+13;12;2005
239;Distinguish;5.55564E+13;10;2006
240;Distinguish;5.55534E+13;5;2008
241;ColonialVoice;7.77764E+13;5;2005
242;SuperiorCard;3.33374E+13;10;2005
243;Distinguish;5.55546E+13;3;2007
244;SuperiorCard;3.33325E+13;7;2005
245;ColonialVoice;7.77763E+13;8;2008
246;SuperiorCard;3.33316E+13;3;2005
247;SuperiorCard;3.33344E+13;10;2005
248;Vista;1.11185E+13;9;2007
249;SuperiorCard;3.3333E+13;9;2006
250;ColonialVoice;7.77731E+13;2;2008
251;SuperiorCard;3.33372E+13;3;2008
252;SuperiorCard;3.33371E+13;8;2006
253;SuperiorCard;3.33319E+13;10;2005
254;Distinguish;5.55543E+13;11;2007
255;SuperiorCard;3.33331E+13;6;2006
256;Vista;1.11116E+13;12;2008
257;Vista;1.11125E+13;10;2006
258;ColonialVoice;7.77762E+13;6;2008
259;SuperiorCard;3.3339E+13;4;2008
260;SuperiorCard;3.33318E+13;7;2008
261;ColonialVoice;7.77732E+13;12;2008
262;SuperiorCard;3.33397E+13;4;2005
263;SuperiorCard;3.33339E+13;12;2006
264;Distinguish;5.55571E+13;6;2007
265;Distinguish;5.55528E+13;4;2007
266;ColonialVoice;7.77756E+13;1;2007
267;SuperiorCard;3.33313E+13;11;2005
268;SuperiorCard;3.33322E+13;2;2006
269;SuperiorCard;3.33371E+13;8;2007
270;SuperiorCard;3.33388E+13;7;2008
271;ColonialVoice;7.77721E+13;9;2006
272;SuperiorCard;3.33369E+13;8;2005
273;ColonialVoice;7.77744E+13;11;2006
274;Distinguish;5.55533E+13;9;2008
275;Distinguish;5.55553E+13;5;2008
276;SuperiorCard;3.33361E+13;12;2007
277;ColonialVoice;7.77791E+13;5;2005
278;Distinguish;5.55588E+13;9;2008
279;Vista;1.11165E+13;5;2006
280;Vista;1.11195E+13;6;2006
281;Distinguish;5.55513E+13;5;2006
282;ColonialVoice;7.77764E+13;12;2006
283;SuperiorCard;3.33394E+13;9;2005
284;SuperiorCard;3.33336E+13;4;2005
285;Distinguish;5.55539E+13;6;2008
286;ColonialVoice;7.77736E+13;8;2007
287;ColonialVoice;7.7775E+13;12;2006
288;SuperiorCard;3.33333E+13;6;2007
289;Distinguish;5.55588E+13;6;2008
290;SuperiorCard;3.33384E+13;7;2006
291;Distinguish;5.55567E+13;7;2007
292;Vista;1.11152E+13;5;2005
293;Vista;1.11119E+13;1;2007
294;Vista;1.11114E+13;3;2005
295;SuperiorCard;3.33355E+13;9;2007
296;SuperiorCard;3.33336E+13;10;2008
297;SuperiorCard;3.33334E+13;11;2005
298;ColonialVoice;7.77763E+13;10;2008
299;Distinguish;5.55518E+13;4;2006
300;Vista;1.11187E+13;5;2007
301;Distinguish;5.55585E+13;12;2006
302;SuperiorCard;3.3335E+13;4;2006
303;Vista;1.11198E+13;9;2005
304;ColonialVoice;7.77759E+13;4;2008
305;Distinguish;5.55523E+13;7;2005
306;Vista;1.11145E+13;8;2007
307;SuperiorCard;3.33312E+13;1;2006
308;SuperiorCard;3.33315E+13;6;2007
309;Vista;1.11179E+13;3;2007
310;Distinguish;5.5554E+13;11;2006
311;SuperiorCard;3.33354E+13;11;2006
312;SuperiorCard;3.33335E+13;3;2008
313;Distinguish;5.5558E+13;7;2007
314;ColonialVoice;7.77775E+13;1;2007
315;ColonialVoice;7.77728E+13;10;2008
316;ColonialVoice;7.77775E+13;12;2006
317;ColonialVoice;7.77752E+13;1;2007
318;SuperiorCard;3.33338E+13;12;2005
319;SuperiorCard;3.33336E+13;3;2008
320;Distinguish;5.55591E+13;9;2005
321;Vista;1.11159E+13;7;2005
322;Vista;1.11115E+13;12;2006
323;Distinguish;5.55565E+13;2;2007
324;SuperiorCard;3.33366E+13;2;2005
325;Vista;1.11131E+13;12;2007
326;Distinguish;5.55592E+13;7;2008
327;Distinguish;5.5553E+13;7;2008
328;SuperiorCard;3.33372E+13;10;2006
329;SuperiorCard;3.33336E+13;8;2008
330;Distinguish;5.55594E+13;2;2007
331;Distinguish;5.55582E+13;11;2006
332;SuperiorCard;3.33354E+13;6;2006
333;Distinguish;5.55593E+13;5;2005
334;Distinguish;5.55583E+13;6;2005
335;Distinguish;5.55511E+13;2;2005
336;SuperiorCard;3.3333E+13;7;2008
337;Vista;1.11147E+13;5;2007
338;ColonialVoice;7.77777E+13;9;2008
339;Distinguish;5.55595E+13;12;2008
340;Distinguish;5.55554E+13;10;2006
341;Vista;1.11144E+13;3;2005
342;ColonialVoice;7.77763E+13;1;2006
343;Vista;1.11157E+13;7;2008
344;Vista;1.11197E+13;9;2006
345;Vista;1.11181E+13;6;2008
346;SuperiorCard;3.33355E+13;3;2008
347;SuperiorCard;3.33375E+13;9;2005
348;Distinguish;5.55518E+13;11;2008
349;ColonialVoice;7.77724E+13;9;2007
350;ColonialVoice;7.77746E+13;5;2007
351;ColonialVoice;7.77763E+13;12;2007
352;Vista;1.1111E+13;5;2005
353;Vista;1.1114E+13;11;2008
354;SuperiorCard;3.33372E+13;6;2007
355;SuperiorCard;3.33362E+13;9;2008
356;Vista;1.11141E+13;10;2008
357;SuperiorCard;3.33391E+13;1;2008
358;SuperiorCard;3.33365E+13;11;2006
359;ColonialVoice;7.77765E+13;10;2008
360;ColonialVoice;7.77729E+13;7;2005
361;SuperiorCard;3.33337E+13;4;2007
362;Distinguish;5.55531E+13;3;2007
363;ColonialVoice;7.77751E+13;8;2006
364;Distinguish;5.55585E+13;9;2007
365;Vista;1.11133E+13;8;2005
366;Distinguish;5.55514E+13;6;2007
367;ColonialVoice;7.77717E+13;10;2006
368;SuperiorCard;3.3338E+13;8;2008
369;Distinguish;5.5559E+13;7;2008
370;Distinguish;5.55529E+13;10;2007
371;Vista;1.11114E+13;2;2006
372;Distinguish;5.55546E+13;6;2008
373;SuperiorCard;3.33366E+13;10;2008
374;Vista;1.11181E+13;2;2007
375;Distinguish;5.55562E+13;5;2005
376;SuperiorCard;3.33379E+13;7;2006
377;Vista;1.11128E+13;1;2005
378;Distinguish;5.5551E+13;4;2006
379;SuperiorCard;3.33399E+13;2;2008
380;ColonialVoice;7.77731E+13;1;2008
381;SuperiorCard;3.33339E+13;3;2006
382;Vista;1.11162E+13;5;2007
383;Vista;1.11116E+13;5;2006
384;ColonialVoice;7.77752E+13;8;2007
385;SuperiorCard;3.33372E+13;4;2005
386;SuperiorCard;3.33346E+13;6;2006
387;ColonialVoice;7.7775E+13;10;2006
388;Distinguish;5.55564E+13;2;2007
389;Distinguish;5.55525E+13;10;2005
390;Vista;1.11188E+13;7;2008
391;ColonialVoice;7.77725E+13;7;2005
392;Vista;1.11186E+13;5;2007
393;Vista;1.11116E+13;4;2006
394;Distinguish;5.5553E+13;6;2006
395;ColonialVoice;7.77714E+13;6;2006
396;SuperiorCard;3.33386E+13;2;2006
397;SuperiorCard;3.33387E+13;5;2006
398;SuperiorCard;3.334E+13;8;2006
399;Vista;1.11187E+13;7;2006
400;Vista;1.11182E+13;6;2005
401;Distinguish;5.55576E+13;9;2007
402;ColonialVoice;7.77787E+13;11;2008
403;ColonialVoice;7.77758E+13;7;2008
404;SuperiorCard;3.33311E+13;3;2007
405;Distinguish;5.55583E+13;9;2006
406;SuperiorCard;3.33352E+13;1;2007
407;SuperiorCard;3.33356E+13;9;2005
408;Distinguish;5.55572E+13;11;2008
409;ColonialVoice;7.77751E+13;5;2008
410;SuperiorCard;3.33335E+13;5;2008
411;Distinguish;5.55544E+13;7;2005
412;SuperiorCard;3.33351E+13;8;2005
413;SuperiorCard;3.3331E+13;9;2008
414;Distinguish;5.55595E+13;1;2006
415;Distinguish;5.55584E+13;1;2005
416;Vista;1.11111E+13;1;2005
417;SuperiorCard;3.33326E+13;11;2006
418;ColonialVoice;7.77783E+13;7;2005
419;SuperiorCard;3.33311E+13;5;2005
420;Distinguish;5.55596E+13;5;2008
421;ColonialVoice;7.77796E+13;12;2006
422;ColonialVoice;7.7777E+13;1;2005
423;Vista;1.11171E+13;9;2007
424;SuperiorCard;3.33383E+13;4;2008
425;Distinguish;5.55567E+13;3;2008
426;ColonialVoice;7.77781E+13;10;2006
427;Distinguish;5.55557E+13;11;2006
428;Vista;1.11185E+13;1;2008
429;Vista;1.11138E+13;3;2008
430;Vista;1.1113E+13;12;2006
431;Distinguish;5.55511E+13;6;2007
432;Vista;1.11123E+13;11;2006
433;Distinguish;5.55582E+13;4;2008
434;Distinguish;5.55578E+13;3;2006
435;ColonialVoice;7.77769E+13;2;2008
436;Distinguish;5.55533E+13;1;2006
437;Vista;1.11112E+13;11;2008
438;Distinguish;5.55571E+13;12;2005
439;Vista;1.11146E+13;2;2006
440;ColonialVoice;7.77797E+13;2;2007
441;SuperiorCard;3.33338E+13;9;2006
442;Vista;1.11126E+13;7;2005
443;ColonialVoice;7.77714E+13;4;2007
444;Distinguish;5.5551E+13;3;2007
445;SuperiorCard;3.33388E+13;2;2005
446;Vista;1.1112E+13;8;2007
447;SuperiorCard;3.33361E+13;8;2007
448;Vista;1.11157E+13;12;2007
449;SuperiorCard;3.33351E+13;9;2006
450;SuperiorCard;3.33326E+13;1;2006
451;SuperiorCard;3.33347E+13;6;2005
452;ColonialVoice;7.77751E+13;8;2006
453;SuperiorCard;3.33382E+13;8;2007
454;Distinguish;5.5555E+13;12;2007
455;SuperiorCard;3.33322E+13;3;2006
456;Distinguish;5.55571E+13;6;2006
457;ColonialVoice;7.77775E+13;5;2005
458;Distinguish;5.55534E+13;8;2005
459;Distinguish;5.55519E+13;9;2007
460;Distinguish;5.55552E+13;6;2006
461;SuperiorCard;3.33377E+13;10;2006
462;SuperiorCard;3.33317E+13;6;2006
463;Vista;1.11191E+13;3;2008
464;SuperiorCard;3.33338E+13;12;2007
465;Distinguish;5.55525E+13;2;2005
466;SuperiorCard;3.33388E+13;9;2005
467;Vista;1.11178E+13;7;2006
468;ColonialVoice;7.77721E+13;10;2006
469;SuperiorCard;3.33385E+13;8;2006
470;Vista;1.112E+13;6;2008
471;Distinguish;5.5557E+13;11;2005
472;ColonialVoice;7.77756E+13;4;2007
473;Distinguish;5.55592E+13;3;2007
474;SuperiorCard;3.33369E+13;6;2006
475;SuperiorCard;3.33359E+13;2;2007
476;Distinguish;5.55591E+13;3;2007
477;Distinguish;5.55523E+13;4;2007
478;Distinguish;5.55527E+13;7;2007
479;SuperiorCard;3.3334E+13;1;2008
480;Distinguish;5.55544E+13;8;2007
481;SuperiorCard;3.33327E+13;9;2007
482;Vista;1.11126E+13;9;2006
483;Distinguish;5.5552E+13;8;2007
484;SuperiorCard;3.33332E+13;7;2006
485;SuperiorCard;3.33341E+13;12;2007
486;Distinguish;5.55583E+13;6;2006
487;Vista;1.11162E+13;8;2005
488;Distinguish;5.55523E+13;8;2006
489;SuperiorCard;3.33356E+13;8;2005
490;Vista;1.11191E+13;11;2007
491;Vista;1.11116E+13;8;2007
492;Vista;1.11156E+13;8;2007
493;ColonialVoice;7.77717E+13;1;2006
494;Distinguish;5.55538E+13;10;2006
495;Distinguish;5.55543E+13;10;2008
496;ColonialVoice;7.77722E+13;9;2007
497;Distinguish;5.55544E+13;2;2007
498;SuperiorCard;3.33369E+13;9;2007
499;Distinguish;5.55558E+13;8;2008
500;ColonialVoice;7.77713E+13;8;2008
501;Distinguish;5.5557E+13;6;2005
502;Vista;1.11142E+13;4;2006
503;Vista;1.11139E+13;11;2007
504;Distinguish;5.55511E+13;2;2005
505;Distinguish;5.55526E+13;8;2005
506;ColonialVoice;7.77778E+13;10;2008
507;ColonialVoice;7.77749E+13;6;2008
508;Vista;1.11131E+13;9;2008
509;Distinguish;5.55565E+13;11;2007
510;SuperiorCard;3.33349E+13;7;2006
511;SuperiorCard;3.33359E+13;5;2008
512;Vista;1.11193E+13;2;2005
513;SuperiorCard;3.33352E+13;4;2006
514;ColonialVoice;7.77784E+13;2;2007
515;Vista;1.11148E+13;12;2007
516;Vista;1.1114E+13;7;2007
517;Distinguish;5.5557E+13;12;2005
518;ColonialVoice;7.7775E+13;10;2005
519;Vista;1.11166E+13;9;2006
520;Distinguish;5.55579E+13;8;2008
521;SuperiorCard;3.33391E+13;1;2005
522;Distinguish;5.55575E+13;5;2008
523;SuperiorCard;3.33317E+13;9;2005
524;Distinguish;5.5558E+13;12;2006
525;ColonialVoice;7.77745E+13;6;2006
526;ColonialVoice;7.7772E+13;4;2008
527;Vista;1.11197E+13;12;2006
528;Distinguish;5.55538E+13;7;2006
529;Distinguish;5.55511E+13;2;2006
530;Distinguish;5.55517E+13;6;2006
531;SuperiorCard;3.33399E+13;4;2005
532;ColonialVoice;7.77762E+13;3;2007
533;ColonialVoice;7.77751E+13;11;2007
534;Vista;1.11177E+13;4;2008
535;Vista;1.11193E+13;10;2005
536;Vista;1.11162E+13;12;2007
537;Vista;1.1115E+13;2;2008
538;ColonialVoice;7.7775E+13;7;2007
539;Distinguish;5.55578E+13;5;2006
540;SuperiorCard;3.33332E+13;3;2008
541;ColonialVoice;7.7778E+13;3;2005
542;Vista;1.11133E+13;10;2006
543;Distinguish;5.55526E+13;9;2005
544;Distinguish;5.55588E+13;12;2008
545;Distinguish;5.55519E+13;7;2006
546;Vista;1.11126E+13;11;2006
547;SuperiorCard;3.33349E+13;6;2008
548;SuperiorCard;3.33369E+13;10;2008
549;Distinguish;5.55514E+13;10;2006
550;ColonialVoice;7.77746E+13;4;2007
551;ColonialVoice;7.77791E+13;1;2006
552;SuperiorCard;3.33393E+13;1;2008
553;Vista;1.11139E+13;2;2005
554;Distinguish;5.55591E+13;3;2006
555;SuperiorCard;3.33365E+13;6;2006
556;Distinguish;5.55546E+13;11;2007
557;SuperiorCard;3.33333E+13;9;2008
558;ColonialVoice;7.77755E+13;4;2008
559;ColonialVoice;7.77779E+13;2;2005
560;ColonialVoice;7.77729E+13;2;2008
561;SuperiorCard;3.3334E+13;7;2006
562;Distinguish;5.55582E+13;3;2006
563;Distinguish;5.55561E+13;4;2005
564;SuperiorCard;3.33393E+13;11;2006
565;SuperiorCard;3.33388E+13;3;2007
566;Vista;1.11149E+13;5;2008
567;Vista;1.11122E+13;9;2006
568;ColonialVoice;7.77747E+13;7;2008
569;Distinguish;5.55584E+13;3;2007
570;Distinguish;5.55581E+13;2;2006
571;SuperiorCard;3.33346E+13;11;2008
572;Vista;1.11183E+13;11;2005
573;ColonialVoice;7.77753E+13;9;2007
574;ColonialVoice;7.77738E+13;7;2008
575;ColonialVoice;7.77765E+13;1;2008
576;Distinguish;5.55555E+13;2;2008
577;Distinguish;5.5556E+13;1;2006
578;Vista;1.11174E+13;8;2005
579;ColonialVoice;7.77744E+13;12;2005
580;Vista;1.1119E+13;8;2005
581;SuperiorCard;3.33381E+13;7;2008
582;SuperiorCard;3.3337E+13;2;2008
583;Distinguish;5.55599E+13;12;2007
584;SuperiorCard;3.3335E+13;12;2006
585;Vista;1.11119E+13;10;2008
586;SuperiorCard;3.33363E+13;6;2006
587;ColonialVoice;7.7776E+13;10;2008
588;Vista;1.11161E+13;5;2008
589;ColonialVoice;7.77747E+13;2;2006
590;Distinguish;5.55519E+13;1;2008
591;SuperiorCard;3.33317E+13;6;2007
592;ColonialVoice;7.77771E+13;1;2006
593;Distinguish;5.55553E+13;12;2005
594;Distinguish;5.55557E+13;2;2007
595;ColonialVoice;7.77712E+13;6;2006
596;ColonialVoice;7.77713E+13;10;2005
597;Distinguish;5.5555E+13;9;2005
598;ColonialVoice;7.77794E+13;11;2008
599;ColonialVoice;7.77799E+13;5;2006
600;Vista;1.11186E+13;6;2006
601;Vista;1.11197E+13;5;2007
602;ColonialVoice;7.77711E+13;6;2006
603;SuperiorCard;3.33357E+13;11;2008
604;ColonialVoice;7.77727E+13;5;2005
605;ColonialVoice;7.77789E+13;1;2005
606;SuperiorCard;3.33341E+13;2;2006
607;Vista;1.11187E+13;4;2005
608;Distinguish;5.55543E+13;8;2008
609;Vista;1.11148E+13;3;2006
610;Vista;1.11173E+13;5;2007
611;Distinguish;5.55528E+13;3;2008
612;Distinguish;5.55588E+13;11;2008
613;SuperiorCard;3.33387E+13;5;2006
614;ColonialVoice;7.77779E+13;6;2007
615;Distinguish;5.55564E+13;6;2007
616;ColonialVoice;7.77725E+13;7;2008
617;Vista;1.11155E+13;9;2005
618;Vista;1.11141E+13;12;2006
619;SuperiorCard;3.33388E+13;2;2006
620;SuperiorCard;3.33343E+13;12;2006
621;Distinguish;5.55531E+13;9;2007
622;Vista;1.1116E+13;4;2006
623;Vista;1.11146E+13;3;2006
624;ColonialVoice;7.77741E+13;4;2008
625;Vista;1.11124E+13;3;2005
626;Distinguish;5.55598E+13;9;2005
627;Vista;1.11178E+13;11;2007
628;Vista;1.11128E+13;4;2008
629;ColonialVoice;7.77729E+13;7;2005
630;SuperiorCard;3.33346E+13;9;2006
631;SuperiorCard;3.33394E+13;3;2007
632;SuperiorCard;3.33353E+13;5;2006
633;ColonialVoice;7.77722E+13;4;2005
634;Distinguish;5.55514E+13;4;2005
635;ColonialVoice;7.77744E+13;4;2006
636;ColonialVoice;7.77768E+13;3;2007
637;SuperiorCard;3.33394E+13;5;2007
638;SuperiorCard;3.33357E+13;6;2008
639;Distinguish;5.55597E+13;7;2005
640;Distinguish;5.55585E+13;4;2007
641;SuperiorCard;3.33368E+13;8;2007
642;ColonialVoice;7.77773E+13;6;2005
643;Vista;1.11143E+13;2;2005
644;Distinguish;5.55575E+13;5;2005
645;Vista;1.11158E+13;5;2005
646;Distinguish;5.5552E+13;8;2007
647;SuperiorCard;3.33394E+13;2;2007
